0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:44:34 +0800] "GET /Music/js/jquery-1.8.3.min.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:44:34 +0800] "GET /Music/content.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:46:21 +0800] "GET /Music/register.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:49:16 +0800] "GET /Music/register.jsp HTTP/1.1" 200 2825
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:49:28 +0800] "GET /Music/register.jsp HTTP/1.1" 200 2825
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:50:12 +0800] "GET /Music/index.jsp HTTP/1.1" 200 6471
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:50:12 +0800] "GET /Music/js/jquery-1.8.3.min.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:50:12 +0800] "GET /Music/content.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:50:18 +0800] "GET /Music/register.jsp HTTP/1.1" 200 2820
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:51:04 +0800] "GET /Music/index.jsp HTTP/1.1" 200 6471
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:51:04 +0800] "GET /Music/js/jquery-1.8.3.min.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:51:04 +0800] "GET /Music/picture/icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:51:04 +0800] "GET /Music/picture/admin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:51:04 +0800] "GET /Music/picture/user.png HTTP/1.1" 304 -
